brand,model,fuel type,transmission,price,month,units_sold,year
Hyundai,Creta,,,958863.5342,Apr-24,888,2019
Mercedes,E-Class,,,2925656.089,Mar-25,938,2018
Tata,Nexon,,,2385492.767,Sep-20,487,2020
BMW,X5,,,1573263.556,Nov-25,141,2019
Honda,CR-V,,,2973827.484,May-22,873,2021
Honda,Elevate,Petrol,"Manual, Automatic",1153615.138,"Oct, 2024",423,2020
Kia,Carens,,,1545988.696,Nov-19,794,2022
Hyundai,Creta,,,1790935.481,Mar-22,339,2024
Hyundai,Aura,"CNG, Petrol","Manual, Automatic",637919.4298,"Oct, 2024",107,2019
Tata,Harrier,,,1617073.6,Sep-18,925,2019
Tata,Nexon,,,804613.2217,Jul-19,998,2019
Toyota,Vellfire,Petrol,Automatic,12199370.42,"Dec, 2024",894,2023
Mahindra,Thar,"Diesel, Petrol","Manual, Automatic",1138809.251,"Dec, 2024",611,2024
Tata,Harrier,,,3452839.799,Jun-18,387,2022
Mahindra,Scorpio,,,1979292.788,Apr-22,189,2023
Maruti Suzuki,Grand Vitara,"CNG, Petrol","Manual, Automatic",1127738.614,"Nov, 2024",254,2018
Honda,Civic,,,2834147.708,Jan-22,708,2023
Hyundai,Creta,,,3788925.962,May-25,627,2019
Hyundai,Venue,"Diesel, Petrol","Manual, Automatic",745093.7748,"Nov, 2024",626,2025
Honda,Civic,,,579903.4355,Dec-21,589,2021
Kia,Sonet,,,2195858.714,Sep-19,810,2025
Ford,Figo,,,3247166.545,Aug-21,382,2025
Tata,Punch,"CNG, Petrol","Manual, Automatic",577289.1871,"Oct, 2024",874,2022
Mercedes,E-Class,,,3538095.796,Dec-18,429,2018
Hyundai,i10,,,2356872.188,Jul-25,471,2022
Hyundai,i10,,,2735315.233,Dec-19,611,2018
Hyundai,Creta,,,2715489.31,Dec-21,794,2018
Mahindra,XUV500,,,2342533.137,Jan-24,896,2024
BMW,X1,,,654640.8318,Oct-22,652,2018
Maruti Suzuki,FRONX,"CNG, Petrol","Manual, Automatic",739246.461,"Dec, 2024",374,2018
Honda,CR-V,,,3045327.108,Jul-24,61,2025
Kia,Sonet,,,744606.1749,Oct-24,58,2024
Kia,Carens,,,1919449.393,Aug-22,360,2022
Toyota,Fortuner,,,3163961.985,Sep-22,486,2022
Mahindra,Thar,,,3285621.737,May-25,992,2024
Mahindra,XUV500,,,2135603.607,May-22,472,2018
Honda,Amaze,Petrol,"Manual, Automatic",820038.0406,"Dec, 2024",465,2020
Maruti,Swift,,,722922.2072,Jun-23,306,2024
Kia,Carens,,,3186017.786,Feb-20,190,2021
Volkswagen,Virtus,Petrol,"Manual, Automatic",1175049.738,"Aug, 2024",359,2018
Hyundai,Tucson,"Diesel, Petrol",Automatic,2886379.757,"Nov, 2024",560,2023
Ford,EcoSport,,,2153878.967,Mar-22,843,2020
Citroen,C3,Petrol,Manual,600316.741,"Nov, 2024",215,2019
Mahindra,KUV 100 NXT,Petrol,Manual,611712.5253,"Dec, 2022",889,2022
Mahindra,Thar,,,1664740.067,Jul-19,297,2022
Jeep,Compass,Diesel,"Manual, Automatic",1883100.619,"Aug, 2024",367,2025
Mahindra,Thar,,,503958.8812,Aug-18,970,2020
Toyota,Camry,,,1164853.562,Feb-22,456,2019
Mahindra,Thar,,,1501221.439,Sep-22,599,2019
Maruti,Brezza,,,1868026.177,Sep-22,750,2021
Maruti Suzuki,Dzire 2018-2023,"CNG, Petrol","Manual, Automatic",644104.1235,"Jul, 2024",260,2023
Maruti Suzuki,FRONX,"CNG, Petrol","Manual, Automatic",707225.5218,"Oct, 2024",642,2024
Tata,Nexon,,,517002.67,May-24,845,2021
Kia,Seltos,,,770544.7354,Apr-23,718,2024
Kia,Sonet,,,2849401.417,Apr-23,229,2023
Toyota,Glanza,"CNG, Petrol","Manual, Automatic",692700.6641,"Nov, 2024",749,2020
Maruti,Baleno,,,907350.8856,May-21,237,2018
Kia,Sonet,,,2416188.034,Aug-23,928,2023
Volkswagen,Tiguan,Petrol,Automatic,3506897.001,"Aug, 2024",590,2021
Toyota,Camry,,,964824.6268,Aug-25,521,2018
Mahindra,Scorpio,,,541194.8426,Dec-22,197,2024
Hyundai,Kona Electric,Unknown,Unknown,2369343.756,"Feb, 2024",401,2021
Kia,Seltos,,,580830.9864,Dec-20,454,2023
Maruti Suzuki,Baleno,"CNG, Petrol","Manual, Automatic",689682.8891,"Dec, 2024",444,2025
Honda,City,Petrol,"Manual, Automatic",1152703.12,"Sep, 2024",137,2018
Kia,Sonet,,,3906041.094,May-20,259,2018
Hyundai,Exter,"CNG, Petrol","Manual, Automatic",560461.9061,"Dec, 2024",327,2023
Maruti,Brezza,,,2887616.548,Aug-21,610,2023
Kia,Sonet,,,2283443.745,Nov-23,975,2023
Toyota,Camry,,,3809040.29,Feb-20,304,2019
Hyundai,i10,,,1613935.209,Feb-21,498,2018
Citroen,C5 Aircross,Diesel,Automatic,3710045.171,"Oct, 2024",604,2024
BMW,X5,,,437594.6229,Jun-24,833,2018
Kia,Seltos,,,1338505.223,Mar-22,917,2023
Honda,Elevate,Petrol,"Manual, Automatic",1148263.605,"Dec, 2024",404,2020
Hyundai,i20,,,1821228.741,Jun-24,250,2025
Mercedes,E-Class,,,3898697.395,Jan-22,549,2021
Hyundai,i20,,,1917856.692,Jul-23,493,2023
Maruti,Baleno,,,1984803.774,May-21,525,2018
Tata,Nexon 2017-2023,"Diesel, Petrol","Manual, Automatic",820413.5634,"Dec, 2023",756,2018
Toyota,Fortuner,,,3123266.688,Apr-21,312,2020
Honda,Amaze 2022-2023,Petrol,"Manual, Automatic",718822.2538,"Jul, 2024",268,2022
Mahindra,XUV400 EV,Unknown,Unknown,1528113.867,"Oct, 2024",63,2021
Tata,Nexon,,,1005331.2,Apr-20,323,2019
Honda,Accord,,,881027.2012,Sep-24,360,2022
Hyundai,i20,,,2949955.937,Jul-23,543,2025
BMW,3 Series,,,3005612.559,Nov-19,974,2022
Maruti Suzuki,S-Presso,"CNG, Petrol","Manual, Automatic",412032.4512,"Sep, 2024",651,2023
BMW,X1,,,1666239.61,Feb-20,354,2020
Toyota,Corolla,,,2714635.127,Sep-21,244,2021
Mercedes,C-Class,,,3354857.034,Aug-23,964,2023
Honda,City,Petrol,"Manual, Automatic",1157549.486,"Nov, 2024",751,2020
Mercedes,E-Class,,,2878826.988,Nov-24,85,2022
Ford,Endeavour,,,1051506.736,Jan-25,773,2019
Tata,Altroz,,,3486939.488,Jul-24,723,2022
BMW,X1,,,2109825.487,Nov-21,94,2019
Honda,Accord,,,3450983.487,Apr-21,78,2021
Maruti,Brezza,,,2594925.876,Feb-18,688,2025
Kia,Sonet,"Diesel, Petrol","Manual, Automatic",822951.5197,"Oct, 2024",705,2022
Hyundai,IONIQ 5,Unknown,Unknown,4627489.851,"Nov, 2024",257,2023
BMW,X1,,,815820.206,May-18,121,2025
Kia,Carens,,,1231458.018,Dec-19,394,2023
Tata,Altroz,,,2852325.073,Apr-21,268,2021
Kia,Sonet,,,2412039.931,Feb-20,418,2020
Hyundai,Creta 2018-2023,"Diesel, Petrol","Manual, Automatic",1111707.094,"Nov, 2023",577,2018
Ford,Endeavour,,,2525119.851,Apr-19,770,2020
Hyundai,i20,,,3922815.242,Jan-20,115,2023
Mahindra,XUV500,,,1069679.216,Feb-20,796,2019
Honda,Accord,,,747414.4884,May-19,855,2021
Mahindra,Thar,,,3950720.293,Sep-23,385,2021
Toyota,Fortuner,,,2673177.33,Jun-18,572,2020
Ford,Endeavour,,,1463519.565,Jan-22,901,2025
Toyota,Fortuner,"Diesel, Petrol","Manual, Automatic",3337960.786,"Nov, 2024",875,2020
MG,Windsor EV,Unknown,Automatic,1379289.376,"Dec, 2024",247,2025
Ford,Figo,,,2880811.734,Aug-24,997,2023
Skoda,Superb,Petrol,Automatic,5434193.606,"Sep, 2024",922,2021
Toyota,Corolla,,,2533921.237,Sep-19,876,2018
Mahindra,Scorpio-N,"Diesel, Petrol","Manual, Automatic",1374965.361,"Nov, 2024",430,2022
Kia,Seltos,"Diesel, Petrol","Manual, Automatic",1103902.184,"Nov, 2024",359,2025
Honda,CR-V,,,2264494.403,Jun-21,408,2024
Toyota,Vellfire,Petrol,Automatic,12171093.14,"Aug, 2024",902,2021
Hyundai,Creta,,,1019370.432,Aug-19,956,2019
Honda,Accord,,,710748.7671,May-19,303,2019
Kia,Sonet,,,2937186.376,Mar-24,340,2019
Tata,Altroz,,,985933.1435,Mar-21,666,2024
Maruti,Brezza,,,1816484.189,Sep-22,216,2025
Mercedes,GLA,,,463433.413,Feb-20,767,2020
Honda,Civic,,,822770.0665,Nov-18,883,2019
MG,Hector,"Diesel, Petrol","Manual, Automatic",1389692.734,"Aug, 2024",555,2022
Skoda,Kodiaq,Petrol,Automatic,4011062.786,"Oct, 2024",877,2024
MG,Windsor EV,Unknown,Automatic,1429245.338,"Dec, 2024",377,2021
Tata,Harrier,,,481072.0566,Apr-19,865,2018
Honda,Civic,,,646863.9833,Oct-19,144,2018
Toyota,Camry,,,2697934.858,Mar-20,710,2025
Kia,EV6,Unknown,Unknown,6107366.979,"Dec, 2024",822,2023
Citroen,Basalt,Petrol,"Manual, Automatic",790002.1429,"Oct, 2024",288,2021
BMW,X5,,,1764261.641,Nov-18,660,2022
Ford,Endeavour,,,3522048.865,Apr-19,684,2025
Honda,Civic,,,3979302.078,Apr-24,647,2020
Ford,Endeavour,,,1323830.235,Jan-21,861,2022
Mahindra,Scorpio-N,"Diesel, Petrol","Manual, Automatic",1395403.22,"Dec, 2024",73,2018
Mahindra,Bolero,Diesel,Manual,988077.5604,"Aug, 2024",604,2025
Citroen,C3,Petrol,Manual,628122.9045,"Oct, 2024",449,2022
Kia,Carens,,,2541116.361,Oct-22,140,2021
Maruti,Baleno,,,3417792.169,Sep-23,846,2025
Hyundai,IONIQ 5,Unknown,Unknown,4597113.273,"Oct, 2024",969,2022
Hyundai,Exter,"CNG, Petrol","Manual, Automatic",623323.2739,"Nov, 2024",867,2020
Maruti Suzuki,Alto K10,"CNG, Petrol","Manual, Automatic",411275.1379,"Nov, 2024",214,2020
Toyota,Corolla,,,1054122.861,Mar-23,702,2022
BMW,3 Series,,,3439535.817,Dec-18,162,2018
Mahindra,Scorpio,,,2608755.261,Aug-21,655,2025
BMW,X5,,,3022164.11,Aug-23,359,2022
Mahindra,XUV500,,,3156580.921,Aug-23,237,2019
BMW,X5,,,1845166.976,Sep-21,923,2018
Ford,EcoSport,,,2979432.008,Jun-25,138,2024
Kia,Sonet,"Diesel, Petrol","Manual, Automatic",790750.4043,"Aug, 2024",885,2025
Honda,Elevate,Petrol,"Manual, Automatic",1172556.309,"Oct, 2024",718,2018
Kia,Seltos,,,1498666.868,Oct-18,183,2025
Ford,EcoSport,,,1992188.356,May-24,984,2018
Citroen,Basalt,Petrol,"Manual, Automatic",778379.591,"Nov, 2024",748,2023
Ford,Figo,,,2373590.344,Mar-25,897,2018
Tata,Nexon,,,982352.2197,Apr-22,823,2019
Hyundai,i10,,,2466273.19,Feb-25,434,2020
Skoda,Kushaq,Petrol,"Manual, Automatic",1066650.964,"Dec, 2024",737,2025
Volkswagen,Virtus,Petrol,"Manual, Automatic",1153003.101,"Aug, 2024",134,2022
BMW,X5,,,1594748.082,Nov-25,502,2024
Ford,Endeavour,,,3379148.409,Oct-18,717,2024
Nissan,X-Trail,Petrol,Automatic,4968240.28,"Dec, 2024",203,2024
BMW,X5,,,2306247.641,May-24,309,2020
Maruti Suzuki,Alto,"CNG, Petrol",Manual,359078.5342,"Nov, 2023",295,2019
Maruti,Swift,,,2706242.335,Mar-18,222,2024
Tata,Altroz,,,2451027.91,Jun-23,335,2024
BMW,X1,,,3552125.574,Jun-22,447,2025
Tata,Tigor,"CNG, Petrol","Manual, Automatic",597895.2282,"Dec, 2024",914,2018
Maruti,Swift,,,3258577.929,Jun-24,300,2020
Mahindra,Marazzo,Diesel,Manual,1409565.405,"Sep, 2024",758,2023
Jeep,Meridian 2022-2023,Diesel,"Manual, Automatic",3354564.741,"Aug, 2024",629,2020
Hyundai,i20,,,567917.1959,Aug-19,602,2020
Hyundai,Creta,,,3911748.553,Feb-19,688,2019
Mahindra,Scorpio,,,1335613.977,Jul-20,869,2024
Ford,Endeavour,,,1819836.357,Jun-20,67,2024
Mercedes,C-Class,,,2568136.645,Feb-18,149,2022
Honda,Accord,,,3718951.694,May-23,682,2024
Tata,Harrier,,,2352023.845,Nov-21,236,2019
Kia,Seltos,,,814045.8489,Jun-21,994,2019
Mahindra,Thar,,,1668070.775,Feb-19,545,2025
Mercedes,GLA,,,3437739.279,Aug-23,50,2020
BMW,X1,,,1970394.138,Mar-21,469,2018
Ford,EcoSport,,,3439012.637,Sep-25,627,2021
Mahindra,Bolero,Diesel,Manual,1008732.19,"Sep, 2024",67,2022
BMW,3 Series,,,3930735.882,Jun-22,755,2020
Maruti,Swift,,,2990498.93,Sep-24,450,2020
Tata,Harrier,,,2362478.326,Mar-18,249,2021
Toyota,Corolla,,,480081.3887,Jan-24,194,2022
Tata,Altroz,,,1323265.167,Mar-22,906,2018
Tata,Nexon,,,3648283.473,Feb-23,328,2019
BMW,X1,,,3522014.935,Jun-25,92,2021
Mahindra,Thar,,,1310235.77,Jan-21,646,2025
Maruti Suzuki,Invicto,Petrol,Automatic,2516191.629,"Sep, 2024",361,2022
Maruti Suzuki,Wagon R,"CNG, Petrol","Manual, Automatic",554250.1,"Aug, 2024",479,2022
Kia,Seltos,,,2282422.252,Jun-23,906,2023
Hyundai,i10,,,1358520.722,Feb-24,925,2021
Tata,Harrier,,,1041110.202,May-19,534,2019
Mercedes,E-Class,,,843442.9322,Aug-25,344,2018
Mercedes,C-Class,,,2352465.194,Mar-22,618,2025
BMW,X5,,,2632515.276,Aug-19,566,2024
Mahindra,Scorpio,,,1730285.16,Jun-21,992,2024
Tata,Nexon,,,2755933.971,Feb-21,315,2024
Honda,Accord,,,1412310.524,Feb-25,861,2025
Volkswagen,Taigun,Petrol,"Manual, Automatic",1167763.263,"Dec, 2024",807,2024
Hyundai,i20,,,1932606.28,Jul-23,489,2020
BMW,3 Series,,,751062.7143,Apr-20,618,2025
Hyundai,i10,,,656277.3525,Jun-21,746,2021
Hyundai,i10,,,2377504.718,Jul-25,418,2025
Maruti,Baleno,,,586937.4075,Jun-24,858,2019
Ford,Figo,,,688511.824,Sep-24,591,2021
Honda,CR-V,,,2106801.973,Mar-20,703,2023
Mahindra,XUV500,,,3154864.819,Aug-23,758,2023
Ford,Endeavour,,,1976362.103,May-20,626,2019
Mahindra,Thar,"Diesel, Petrol","Manual, Automatic",1115830.241,"Sep, 2024",311,2019
Ford,EcoSport,,,3361639.215,Aug-24,828,2022
Ford,Endeavour,,,889400.7156,Feb-19,600,2018
Mahindra,Thar,"Diesel, Petrol","Manual, Automatic",1151659.174,"Sep, 2024",102,2023
Maruti Suzuki,Swift,"CNG, Petrol","Manual, Automatic",623427.7794,"Dec, 2024",792,2019
Maruti Suzuki,Wagon R,"CNG, Petrol","Manual, Automatic",556264.8705,"Sep, 2024",352,2025
Mercedes,GLA,,,1038419.11,Aug-24,398,2019
Hyundai,i10,,,2853267.256,Aug-25,864,2022
Ford,EcoSport,,,3225714.09,Jan-18,596,2018
Maruti,Brezza,,,3801940.802,Apr-23,369,2023
Kia,Carens,"Diesel, Petrol","Manual, Automatic",1040355.442,"Dec, 2024",671,2024
Mercedes,GLA,,,3902839.707,Sep-21,913,2023
Mercedes,E-Class,,,2484509.078,Aug-23,708,2022
Tata,Safari,Diesel,"Manual, Automatic",1522367.366,"Dec, 2024",56,2021
Tata,Harrier,,,2350354.137,Feb-19,691,2020
BMW,3 Series,,,523674.6498,Oct-24,180,2025
Hyundai,i10,,,871290.0059,Dec-24,514,2019
Maruti Suzuki,Jimny,Petrol,"Manual, Automatic",1277261.16,"Nov, 2024",455,2025
Kia,Carens,,,1671603.436,May-24,880,2020
Kia,Seltos,,,3755117.681,Aug-21,531,2024
BMW,X1,,,775931.8184,Dec-22,576,2019
Tata,Altroz,,,1344510.016,Jul-19,919,2020
Maruti Suzuki,Jimny,Petrol,"Manual, Automatic",1241587.043,"Nov, 2024",658,2019
Maruti Suzuki,Baleno,"CNG, Petrol","Manual, Automatic",653109.0855,"Sep, 2024",556,2021
Honda,Accord,,,2118341.069,Mar-20,397,2024
Toyota,Corolla,,,2422311.665,Apr-20,260,2019
Maruti,Baleno,,,1965024.056,May-21,163,2025
Tata,Tiago,"CNG, Petrol","Manual, Automatic",539203.0229,"Aug, 2024",962,2025
Hyundai,i20,Petrol,"Manual, Automatic",702074.6464,"Sep, 2024",280,2019
Kia,Seltos,,,1795357.009,Jul-23,830,2024
Maruti Suzuki,Ciaz,Petrol,"Manual, Automatic",942646.7228,"Oct, 2024",888,2020
Mahindra,XUV500,,,2580060.329,Apr-23,387,2021
Mahindra,Thar,,,1308772.664,Jan-21,847,2020
Tata,Nexon,,,3969407.384,Sep-18,255,2021
Renault,KWID,Petrol,"Manual, Automatic",477942.3291,"Dec, 2024",173,2024
Mercedes,C-Class,,,3108198.364,Nov-24,639,2022
Hyundai,Exter,"CNG, Petrol","Manual, Automatic",629736.086,"Sep, 2024",389,2018
Mahindra,Scorpio-N,"Diesel, Petrol","Manual, Automatic",1381659.496,"Sep, 2024",561,2023
Hyundai,Creta 2018-2023,"Diesel, Petrol","Manual, Automatic",1099299.753,"Oct, 2023",792,2024
Honda,CR-V,,,1354193.505,Dec-22,379,2023
Skoda,Superb,Petrol,Automatic,5386458.382,"Oct, 2024",423,2021
Honda,CR-V,,,1282994.063,Jun-20,532,2019
Hyundai,i20,,,3812944.459,Jan-25,522,2018
Mahindra,XUV500,,,3941699.454,Jun-19,815,2022
Mahindra,Thar,,,1330461.697,Sep-25,799,2022
Mahindra,XUV500,,,2098952.042,May-22,628,2020
Ford,EcoSport,,,2161989.657,Oct-21,996,2025
BMW,X5,,,2167443.567,Feb-20,574,2023
Citroen,Basalt,Petrol,"Manual, Automatic",778565.9904,"Dec, 2024",573,2019
Kia,Carens,,,2097161.123,Jul-19,389,2025
Kia,Seltos,,,806603.492,Jun-21,566,2019
Maruti Suzuki,Celerio,"CNG, Petrol","Manual, Automatic",523777.8456,"Dec, 2024",301,2018
Toyota,Camry,,,3024416.218,Feb-20,925,2019
